id,질문,정답,top1 문서
11,랜초피딩(사)의 유해 소고기가 판매된 패스트푸드점은 어디인가?,해당 문서에 없음,"미국, 패스트푸드점에서 렌초피딩(사)의 유해 소고기 판매했을 가능성 있어 'Press Democrat'지에 따르면 최근 회수 조치된 랜초피딩(사)의 유해 소고기가 잭인더박스(Jack in the Box) 등 패스트푸드점에 판매돼 햄버거 재료로 사용됐을 가능성이 있음.  감독관은 해당 소고기가 판매됐을 것으로 보고있음. 35개 주 약 6,000여개 소매점이 회수 명단에 기재됐음. 그러나 레스토랑 등 외식 업체는 확인되지 않고 있음. 이번 회수 제품과 관련하여 어떠한 질병도 보고된 것은 없음. 많은 패스트푸드점들이 쇠고기를 대상으로 대장균 0157:H7 같은 미생물 검사는 실시하고 있지만 암 같은 질병 여부는 확인할 수 없음."
12,Cuisinart® 전기훈제기기의 회수 사유는 무엇인가요?,제품 사용 시 가스가 문이 열릴 정도로 차는 사례가 10건 있어 예방조치 차원에서 회수함. 상해 보고는 없었음.,"[추가회수]캐나다 Canadian Tire Corporation, Limited., 안전 우려로 훈제용 가전기기 회수(중국산) - 회수일시: 2014.10.6- 유통지역: 전국 Canadian Tire 상점- 제품명: Cuisinart® 전기훈제기기(중국산, 제품번호: 85-1153)- 회수사: Canadian Tire Corporation, Limited.(수입업체)- 기타: 해당 제품은 2012년 2월부터 2014년 9월 기간동안 판매되었음. 제품 사용시 가스가 문이 열릴정도로 찬다는 10건의 소비자 사례가 있어 예방조치 차원에서 회수함. 상해 보고는 없었음. 캐나다 연방보건부는 이 가전기기와 관련된 2건의 소비자 사례 보고서를 접수받은 바 있으나 상해건은 보고된 바 없음. 회수량은 약 9,238개로 추정됨.- 제품사진: 원문 참고"
13,전직 웨스트 버지니아 의원 내외가 사망한 원인은 무엇인가?,상한 미트로프를 먹고 식중독 증세를 보여 사망했다고 소송이 제기되었음.,"미국 웨스트 버지니아 의원 내외 유가족, ""사인은 상한 고기"" 음식점 제소 전직 미국 웨스트 버지니아 의원 내외가 한 음식점에서 상한 미트로프(*곱게 다진 고기, 양파 등을 함께 섞어 빵 모양으로 만든 뒤 오븐에 구운 것)을 먹어 사망했다며 소송이 제기되었음.  전직 스타처 의원의 유가족은 지난달 음식점 '밥 에반스 팜'을 상대로 한 소송장을 잭슨 카운티 순회법원에 제출했음. 이에 업체 대변인은 본 사건에 강력 변호하겠다고 밝혔음.  소장에 따르면, 의원 내외는 지난 2012년 10월, 밥 에반스에서 미트로프를 먹은지 9시간이 흐른 뒤 식중독 증세를 보여 앰뷸런스로 병원에 이송되었음. 남편 해롤드 스타처씨는 같은 날 뇌졸증이 생겼으며 이후 2013년 12월 심장판막 개복술을 받고 4월까지 입원한 후 다음 달에 향년 84년의 나이로 사망함. 지병이 있었던 버지니아 스타처 의원은 2012년 12월에 숨졌음."
14,푸드본 시카고 앱은 어떤 정보를 분석하여 식중독 사례를 확인하나요?,푸드본 시카고 앱은 시카고와 그 인근에서 발생한 식중독 증세와 관련이 있다고 추정되는 트위트 정보를 확인하는 알고리즘을 사용합니다.,"미국 시카고, 트위터를 통해 식중독 원인 확인하기 위한 앱 개발 시카고 공중보건부 소속의 베카라 슈케어(Bechara Choucair)박사는 지역에서 발생한 식중독 일화에 대해 불평하는 트위터 사용자들을 보았을 때, 이들에게 연락을 취했고, 대개는 결국 혐의가 있는 식당의 위반사항에 의구심을 갖기도 했음. 슈케어 박사는 ""지역 여러 곳에 분포되어 있는 대부분의 식품 매개 식중독 사례를 보건부에 보고하는 것이 계속될 것을 알고 있다. 식중독에 걸린 사람들이 의사에게 연락을 취하지는 않지만 트위터에 접속해 바깥에서 먹은 음식으로 인해 식중독에 걸렸다는 사실을 전 세계에 알릴지도 모른다는 점을 깨달았다.""라고 전했음. 슈케어 박사와 동료들은 시카고에서 발생하는 신규 식중독 사례를 밝혀낼 혁신적인 방법이 있을까에 대해 궁금해했고, 스마트 시카고(Smart Chicago)라 칭하는 기술 협력 단체를 모집했음. 슈케어 박사는 스마트 시카고 협력단체가 시카고 인근에서 식품으로 인한 질병을 참고할 수 있는 수백에서 수천건의 트위트 정보를 매일 샅샅이 검토하는 앱(app) 개발을 도왔다고 전했음. 푸드본 시카고(Foodborne Chicago)라 불리는 이 앱은 시카고와 그 인근에서 발생한 식중독 증세와 관련이 있다고 추정되는 트위트 정보를 확인하는 알고리즘을 사용함. 푸드본 시카고는 'foodbornechi'로 트위터 메시지를 보내면 됨."
15,앤드류 버탈리씨가 대마씨를 빵에 넣고 싶어하는 이유는 무엇인가?,"대마는 단백질이 많고, 오메가 3, 6, 9이 풍부해 훌륭한 종자이자 곡물이기 때문이다.","호주 자영업자, 식용 대마 산업 합법화 재촉 호주 빅토리아주 중앙의 한 제빵업체가 대마씨를 빵에 넣고 싶다는 의사를 밝히면서, 대마의 식용 합법화 논란에 다시 불이 붙었음.  호주뉴질랜드 식품기준청은 식품 중 대마 사용은 안전하다는 입장을 밝혔지만 관련 법률은 현재까지도 식용을 금지하고 있는 상황임.  빅토리아주 버낼라 지역에서 '알파인 브래드' 가게를 운영 중인 앤드류 버탈리씨는 유명 슈퍼마켓과 건강식품점에 건강빵을 납품하고 있음. 그는 ""대마는 단백질도 많고, 오메가 3, 6, 9이 풍부해 훌륭한 종자이자 곡물이다""라고 말했음.  산업용 대마에는 마약인 마리화나에도 있는 향정신성 성분인 THC가 미량 함유되어 있음. 이에 버탈리씨는 ""사람들이 산업용 대마를 마약과 혼동한 탓에 건강에 좋다는 사실을 이해하지 못하고 있다""고 말했음."
16,영국소매협회(BRC)가 마련한 알레르겐 관리 지침은 어떤 주제에 초점을 맞추고 있나요?,"지침은 위해 평가법, 재료 정보 파악, 알레르겐 구분, 생산 계획 방법, 청결 관리 방법의 다섯 가지 주제에 초점을 맞추고 있습니다.","영국, 식품 제조업체 위한 알레르겐 관리 지침  새로운 식품 알레르겐 관리와 표시 규정이 올해 말, 시행됨에 따라 제조업체와 관련자들이 시급히 대비하지 않으면 식품기준청(FSA)의 '식품경보' 발령 건수가 증가할 것으로 보임.  지난 해, FSA가 식품경보를 발령한 주요 이유 중에는 알레르겐 교차오염과 표시 오류가 있었음. EU의 소비자식품정보규정(FIR)에 따라 올해 말에 시행될 새로운 규정에 대한 혼란으로 업체들이 제대로 준비하지 않으면 식품경보 수가 더 늘어날 것임. 업체들이 변화에 대처하도록 돕기 위해, 영국소매협회(BRC)가 알레르겐 사용 관리에 관한 지침을 마련했음. 지침은 다음 다섯 가지 주제에 초점을 맞춘 것임. 1. 필요한 관리조치를 결정하기 위해 정확한 위해 평가법으로 공정과정, 활동, 성분의 위해도를 평가하도록 함.  2. 공급업체로부터 시설에 전달되는 재료에 대한 정보를 충분히 파악하여 알레르겐을 적절히 관리할 수 있어야 함.3. 알레르겐 관리 과정의 핵심 절차로서 알레르겐을 적절히 구분해야 함.4. 지침에는 교차오염을 줄일 수 있는 생산 계획 방법을 제시하고 있음.5. 교차오염을 없애거나 줄이기 위한 청결 관리 방법을 제시하고 있음.   *BRC 알레르겐 표시 참고 지침 전문: http://www.brc.org.uk/downloads/Guidance%20on%20Allergen%20Labelling.pdf"
17,뉴욕시 소비자 문제 및 보호 위원회가 가결한 법안은 무엇을 요구하나요?,유전자 변형(GMO) 식품에 라벨을 요구하는 법안(A.3525)을 가결했습니다.,"미국 소비자연맹, GMO 라벨 법안 뉴욕시 소비자문제 위원회 가결 발표 미국 소비자연뱅은 뉴욕의회의 '소비자 문제 및 보호 위원회(Committee on Consumer Affairs and Protection)'가 유전자 변형(GMO)식품 라벨을 요구하는 법안(A.3525)을 찬성 9표로 가결시켰음을 발표함. 특수 법인 이해관계자들의 상당한 로비에도 불구하고 집회 및 직접적인 제정 소통을 포함한 환경 및 소비자단체의 강력한 조직화가 법안이 위원회를 통과하는데 도움을 주었음. 법안 상정자이자 위원회 회원인 린다 로젠탈(Linda B. Rosenthal)은 몇 달에 걸친 노력과 위원회에서 법안을 부결시키려는 업계 로비스트들의 노력에도 불구하고 소비자 문제 위원회를 성공적으로 통과한 GMO 법안에 만족한다고 말했음. 그녀는 대부분의 수 많은 뉴욕인들이 그들의 가족이 섭취하는 식품에 무엇이 있는지를 알기를 원한다며 오늘 뉴욕시는 GMO 라벨 의무화를 실현시키는데 한 발 다가갔다고 밝혔음.  이번 법안은 식품에 무엇이 들었는지, 어떻게 만들어졌는지에 관한 기본정보를 소비자들에게 제공하는 유전자 변형(genetic engineering) 기술로 생산된 식품의 라벨을 요구함. 이로써 식품을 선택하는데 있어 소비자들에게 정보를 제공하게 될 것임. 현재는 식품 제조업자에게 유전자 변형(GM)된 식품에 라벨을 할 것을 요구하는 규정은 없음."
18,"Baptista's Bakery, Inc가 회수한 프레즐의 제품명은 무엇인가요?","Houdini, 3 oz Honey Mustard Pretzel Nuggets","[E/R]미국 Baptista's Bakery, Inc, 알레르기 유발성분인 유청 미표시한 프레즐 회수 -지역: 미국 캘리포니아 -제품명: Houdini, 3 oz Honey Mustard Pretzel Nuggets, 품목 # COM 562 로트 30014 -회수사: Baptista's Bakery, Inc (회수종료, 회수일 2014-11-14)-회수사유: 제품에는 표시하지 않은 유청이 함유된 조미료를 잘못 사용"
19,린다 로젠탈 뉴욕 의원이 상정할 예정인 법안의 주요 내용은 무엇인가?,뉴욕의 모든 식품에 유전자 변형 생물체(GMO) 표시를 부착하도록 요구하는 법안이다.,"미국 뉴욕주 의원, GMO 표시안 상정할 예정  뉴욕 주의 한 의원이 뉴욕의 모든 식품에 유전자 변형 생물체(GMO) 표시를 부착하도록 요구하는 법안을 상정할 계획임. 일부 반대 시각에서는 GMO 식품을 '프랑켄 식품(franken-foods)'이라고 칭함. 대두나 옥수수 시럽을 만든 것은 대부분이 유전자 변형되었을 가능성이 있음. 많은 식품에는 이미 '유기농', '전 성분 천연', 무글루텐'과 같은 라벨을 표시하고 있으나 뉴욕에서는 'GMO' 라벨을 찾아볼 수 없음. 린다 로젠탈 뉴욕 의원은 유전자 변형된 작물은 제초제가 아주 많이 뿌려져도 견딜 수 있다면서 소비자를 보호하기 위해  GMO 표시를 요구하는 안을 상정할 예정이라고 전했음."
20,캐나다에서 회수된 Imei 브랜드의 쿠키는 어떤 성분이 표시되지 않았나요?,알레르기 유발성분 아몬드와 땅콩이 표시되지 않았습니다.,"[회수]캐나다 Allcity Importers Ltd., 알레르기 유발성분 아몬드와 땅콩 미표시된 쿠키 회수 캐나다 연방보건부, 'Allcity Importers Ltd.'의 쿠키'Seaweed Fried Cookies와 Sesame Fried Cookies'를 알레르기 유발성분 아몬드와 땅콩 미표시로 회수 발표 - 일시: 2014. 3. 20.- 제품명: 1) Seaweed Fried Cookies(115 g, 제품코드: 20150115, UPC: 4710126010086)2) Sesame Fried Cookies(115 g, 제품코드: 20141005, UPC: 4710126010079)- 브랜드명: Imei- 유통지역: 앨버타, 브리티시 컬럼비아- 회수사: Allcity Importers Ltd.- 회수사유: 알레르기 유발성분 아몬드와 땅콩 미표시"
21,하와이 카운티 위원회가 GM 작물 경작 금지법에 대해 항소하기로 결정한 표결 결과는 어떻게 되었나요?,"찬성 5표, 반대 4표로 항소를 진행하기로 가결 처리되었습니다.","하와이 카운티, GM 작물 경작 금지법 부당판결에 관해 항소하기로 결정 하와이 카운티 위원회가 유전자 변형(GM) 작물의 옥외 시험재배법 금지를 무효화한 연방판사의 판결에 항소할 계획임. 일간지 '웨스트 하와이 투데이'는 위원회의 표결 결과, 찬성 5표, 반대 4표로 항소를 진행하기로 가결 처리되었다고 보도했음. 미국 예심판사 베리 커렌은 11월 27일, 이 문제에 대해 카운티의 법이 주법에 우선한다면서 카운티법을 무효화시켰음. 하와이 카운티의 조례는 유전자 변형 작물을 옥외 시험재배하는 것을 금지함. 또한, 현재 이미 하와이 카운티에서 재배되고 있는 파파파야와 옥수수뿐 아니라 온식이나 기타 옥내 시설이 갖추어진 것은 면제적용됨."
22,미국 국립연구원이 GMO 연구를 시작한 이유는 무엇인가?,미국과의 중요한 무역 상대국으로 대표적인 중국을 포함한 통상국이 일부 GMO 곡물의 수입 허용을 망설임에 따라 이번 연구가 시작되었다.,"미국 국립공공정책연구센터, 제너럴 밀(사)에 GMO 성분 퇴출안 부결처리 요구 미국 국립공공정책연구센터는 제너럴 밀(사) 투자자들에게 업체의 제품으로부터 완벽하게 안전하고 영양가 있는 유전자 변형 생물체(GMOs)를 없애도록 지시하는 주주들의 안을 부결시킬 것을 촉구했음. 내일 열리는 제너럴 밀(사) 연례주주회의에서 이에 대한 표결이 이루어질 것임. 국립자유기업센터 프로젝트 디렉터인 저스틴 댄호프씨는 제너럴 밀(사)는 이러한 거짓 과학안을 거부함으로써 스스로 자처한 식품정첵에 강력한 메시지를 전달할 수 있다고 전했음. 만약 승인된다면, 제너럴 밀(사)는 자사가 제조하거나 판매하는 모든 제품에서 GM 성분을 제거해야함.  다음의 여러 독립적이고 정평이 나 있는 과학기관과 연구에서는 GMO가 안전함을 명확히 증명함.- 미국 국립과학아카데미- 미국 과학진흥회- 미국 의학협회- 왕립 의학회- 세계보건기구"
23,영국 식품기준청이 신규 식품 승인 신청 접수를 중단한 이유는 무엇인가?,재원 부족으로 인해 당분간 신규 식품의 승인 신청을 접수하지 않기 때문입니다.,"영국, 식품기준청 신소재식품 신청 접수 중단 영국 'Whitehouse Consulting'의 회장, 크리스 화이트하우스(Chris Whitehouse)는 식품기준청(FSA)이 신규 식품 승인 신청 접수를 중단하고 있다고 전함. FSA는 자동 응답 이메일 시스템을 통해 신청 업체들에게 재원 부족으로 당분간 신규 식품의 승인 신청을 접수하지 않는다고 통지하고 다른 EU 회원국에 등록 서류를 제출할 것을 권고하고 있음. 화이트하우스는 영국에서 현재 진행되고 있는 공공부문의 인력 감축과 긴축 재정을 그 원인으로 지목하고 있음. 그리고 공정성과 과학을 기반으로 한 시스템에 대한 세계적 명성으로 많은 국제 기업들이 승인 신청서를 직접 제출한 것이 당국에 큰 압박이 됐다고 덧붙임.  유럽연합 역내에서 1997년 5월 15일 전의 입증할 만한 소비 이력을 갖고 있지 않은 식품이나 식품 성분을 판매하고자 하는 업체는 회원국 관계 기관에 신소재 식품에 대한 승인 신청을 해야 함."
24,워싱턴주에서 GM 연어에 대한 라벨 표시 의무화 법안이 청문회에서 논의된 이유는 무엇인가?,"농무부가 갈변 방지를 위해 유전자가 재조합된 사과를 승인할 것으로 예상되면서 GMO 논란이 재가열되었고, 이에 따라 GM 연어가 판매될 경우 라벨 표시를 의무화하는 법안이 청문회에서 논의되었다.","워싱턴주, GMO 라벨표시 의무화 논쟁 재가열 조짐(표시 의무화 법안 청문회 실시) 미국 워싱턴주에서 유전자재조합(GM) 식품의 라벨표시 의무화 계획이 아슬아슬하게 실패로 돌아간지 몇 개월이 지난 현재 다시 GMO 논란이 되살아나고 있음.  워싱턴주 의원들은 17일(현지 시각), GM 연어가 판매될 경우 라벨 표시를 의무화하는 내용의 법안에 대한 청문회를 실시함. 또 다른 법안에서는 GMO 성분이 함유된 여러 식품에 대해 라벨에 해당 사실을 표시하도록 하는 내용이 담김.  이 같은 논란은 농무부가 갈변 방지를 위해 유전자가 재조합된 사과를 승인할 것으로 예상되면서 나온 것으로, 식품의약품청도 현재 GM 연어 승인 신청을 고려 중임.  상기 법안을 지지한 주의원은 생선은 양식인지 아닌지 표시하는데, 유전형질이 전환된 어류도 표시하는 것이 상식적이라고 설명함. 한편 위 법안에서는 미국 수역에서 생산된 GM 물고기(finfish)에 대해 판매를 금지하는 내용도 포함됨. 현재 미국에서 연방이나 주 정부 차원에서 마련된 GM 식품 표시 요건은 없음."
